MAL_ID,Name,Score,Genres,Aired,Members,Studios
50265,Spy x Family,9.09,"['Action', 'Comedy']",20220409,590043,"['CloverWorks', 'Wit Studio']"
40356,Tate no Yuusha no Nariagari Season 2,7.14,"['Action', 'Adventure', 'Drama', 'Fantasy']",20220406,524110,"['DR Movie', 'Kinema Citrus']"
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.95,['Comedy'],20220409,434158,['A-1 Pictures']
45613,Kawaii dake ja Nai Shikimori-san,7.13,"['Comedy', 'Romance']",20220410,285318,['Doga Kobo']
50631,"Komi-san wa, Comyushou desu. 2nd Season",8.30,['Comedy'],20220407,237843,['OLM']
49520,Aharen-san wa Hakarenai,7.44,['Comedy'],20220402,177213,['Felix Film']
41461,Date A Live IV,7.95,"['Comedy', 'Romance', 'Sci-Fi']",20220408,158410,['GEEK TOYS']
47194,Summertime Render,8.25,"['Mystery', 'Supernatural', 'Suspense']",20220415,129605,['OLM']
50273,Tomodachi Game,7.26,[],20220406,129514,['Okuruto Noboru']
50175,"Yuusha, Yamemasu",7.05,"['Action', 'Adventure', 'Comedy', 'Fantasy']",20220405,128238,['EMT Squared']
48760,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",7.32,"['Action', 'Fantasy']",20220407,125060,"['HORNETS', 'Studio Kai']"
48675,Kakkou no Iinazuke,7.59,"['Comedy', 'Romance']",20220424,118189,"['Shin-Ei Animation', 'SynergySP']"
48415,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",6.69,"['Action', 'Fantasy']",20220406,115610,"['Blade', 'SILVER LINK.']"
50380,Paripi Koumei,8.39,[],20220405,103313,['P.A. Works']
50461,Otome Game Sekai wa Mob ni Kibishii Sekai desu,7.20,"['Fantasy', 'Romance']",20220403,98788,['ENGI']
48643,Koi wa Sekai Seifuku no Ato de,7.47,"['Comedy', 'Romance']",20220408,96559,['Project No.9']
43470,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,7.50,"['Comedy', 'Romance']",20220402,90511,['Unknown']
47162,Shokei Shoujo no Virgin Road,6.87,"['Action', 'Adventure', 'Fantasy']",20220402,81744,['J.C.Staff']
42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,8.04,"['Fantasy', 'Slice of Life']",20220412,77352,['Ajia-Do']
48842,Mahoutsukai Reimeiki,6.25,"['Action', 'Adventure', 'Comedy', 'Fantasy']",20220408,73380,['Tezuka Productions']
49052,Ao Ashi,7.74,['Sports'],20220409,60895,['Production I.G']
48779,Deaimon,7.49,['Slice of Life'],20220406,45097,['Encourage Films']
48702,Dance Dance Danseur,7.52,['Drama'],20220409,40803,['MAPPA']
42745,Machikado Mazoku: 2-choume,7.78,"['Comedy', 'Slice of Life']",20220408,40492,['J.C.Staff']
49692,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,7.20,[],20220407,32911,['Lay-duce']
50338,Kunoichi Tsubaki no Mune no Uchi,6.66,['Comedy'],20220410,31084,['CloverWorks']
48742,"Kono Healer, Mendokusai",5.72,"['Adventure', 'Comedy', 'Fantasy']",20220410,27995,['Jumondo']
49831,Black★★Rock Shooter:  Dawn Fall,5.67,"['Action', 'Drama']",20220403,27756,"['Bibury Animation CG', 'Bibury Animation Studios']"
48363,RPG Fudousan,6.35,"['Comedy', 'Fantasy']",20220406,24831,['Doga Kobo']
49556,Love All Play,6.60,['Sports'],20220402,24180,"['Nippon Animation', 'OLM']"
48916,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,7.95,['Slice of Life'],20220402,22696,['Sunrise']
50160,Kingdom 4th Season,8.75,['Action'],20220410,21691,['Unknown']
49160,Shachiku-san wa Youjo Yuurei ni Iyasaretai.,7.03,"['Comedy', 'Supernatural']",20220407,20311,['Project No.9']
50248,Birdie Wing: Golf Girls' Story,6.63,['Sports'],20220406,18360,['Bandai Namco Pictures']
49691,Gunjou no Fanfare,5.97,['Sports'],20220402,17247,['Lay-duce']
48857,Healer Girl,6.89,[],20220404,16218,['Studio 3Hz']
49342,Shin Ikkitousen,0,"['Action', 'Ecchi']",20220327,12198,['Arms']
48777,Build Divide: Code White,6.79,['Fantasy'],20220403,11875,['LIDENFILMS']
50955,Onipan!,6.12,"['Comedy', 'Fantasy']",20220411,9586,['Wit Studio']
50685,Kaginado Season 2,7.14,"['Comedy', 'Slice of Life']",20220413,7368,['Unknown']
50678,Kyoukai Senki Part 2,6.62,"['Action', 'Sci-Fi']",20220412,6806,['Sunrise Beyond']
50862,Estab-Life: Great Escape,5.70,['Sci-Fi'],20220323,6504,['Polygon Pictures']
50438,Yatogame-chan Kansatsu Nikki Yonsatsume,6.49,"['Comedy', 'Slice of Life']",20220409,5588,"['Creators in Pack', 'Hayabusa Film']"
50012,Meitantei Conan: Zero no Tea Time,7.23,['Slice of Life'],20220405,5308,['Unknown']
50789,Jantama Pong☆,6.10,['Comedy'],20220409,4064,['Scooter Films']
50607,Yu☆Gi☆Oh!: Go Rush!!,5.72,"['Action', 'Fantasy']",20220403,2970,['Bridge']
50060,Shadowverse Flame,6.06,['Fantasy'],20220402,2604,['Zexcs']
50250,Chiikawa,5.84,['Comedy'],20220404,731,['Doga Kobo']
51569,Mobile Suit Gundam: Iron-Blooded Orphans Special Edition,0,"['Action', 'Drama', 'Sci-Fi']",20220405,673,['Sunrise']
51685,My Daughter is a Zombie,0,"['Comedy', 'Supernatural']",20220403,221,['Unknown']
51636,Kenda Master Ken (TV),0,['Comedy'],20220401,136,['Unknown']
21,One Piece,8.64,"['Action', 'Adventure', 'Fantasy']",19991020,1854753,['Toei Animation']
34566,Boruto: Naruto Next Generations,5.85,"['Action', 'Adventure', 'Fantasy']",20170405,743825,['Studio Pierrot']
235,Detective Conan,8.16,"['Adventure', 'Comedy', 'Mystery']",19960108,305978,['TMS Entertainment']
966,Crayon Shin-chan,7.75,"['Comedy', 'Slice of Life', 'Ecchi']",19920413,71389,['Shin-Ei Animation']
40906,Dragon Quest: Dai no Daibouken (2020),7.15,"['Action', 'Adventure', 'Fantasy']",20201003,58438,['Toei Animation']
42892,Baraou no Souretsu,5.49,"['Action', 'Drama', 'Supernatural']",20220109,45601,['J.C.Staff']
43735,Cue!,6.43,[],20220108,19209,"['Graphinica', 'Yumeta Company']"
49515,Digimon Ghost Game,6.99,"['Action', 'Adventure', 'Comedy', 'Fantasy']",20211003,15773,['Toei Animation']
42808,Shenmue the Animation,6.81,"['Action', 'Adventure']",20220206,13985,['Telecom Animation Film']
2406,Sazae-san,6.11,"['Comedy', 'Slice of Life']",19691005,7074,['Eiken']
49780,Atasha Kawajiri Kodama Da yo: Dangerous Lifehacker no Tadareta Seikatsu,5.62,['Comedy'],20220114,5837,['Lapin Track']
50281,Delicious Party♡Precure,7.24,"['Action', 'Fantasy']",20220206,5317,['Toei Animation']
6149,Chibi Maruko-chan (1995),7.26,"['Comedy', 'Slice of Life']",19950108,4093,['Nippon Animation']
49285,Waccha PriMagi!,6.58,[],20211003,3639,"['Dongwoo A&E', 'Tatsunoko Production']"
32353,Bonobono (TV 2016),6.39,"['Comedy', 'Slice of Life']",20160402,2670,['Eiken']
50418,Ninjala (TV),5.69,['Action'],20220108,1673,['OLM']
33398,Neko Konogoro,0,['Comedy'],20160608,1205,['Kachidoki Studio']
35478,Neko no Robu,0,"['Comedy', 'Slice of Life']",20170506,1202,['Kachidoki Studio']
30151,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,0,"['Comedy', 'Slice of Life']",20121116,884,['Unknown']
10506,Shiawase Haitatsu Taneko,0,['Comedy'],20110326,647,['Kachidoki Studio']
42870,Uchuu Nanchara Kotetsu-kun,0,['Comedy'],20210407,598,['Fanworks']
50522,Teikou Penguin,0,[],20220105,481,['Unknown']
35694,Kirin the Noop,0,['Adventure'],20140206,472,['Unknown']
38776,Manul no Yuube,0,['Slice of Life'],20181111,372,['Unknown']
50549,Bubble,7.41,[],20220428,79997,['Wit Studio']
39518,Vampire in the Garden,0,[],20220516,14673,['Wit Studio']
41595,Tiger & Bunny 2,7.67,"['Action', 'Comedy', 'Mystery']",20220408,14533,['Bandai Namco Pictures']
41915,Zuihou de Zhaohuan Shi,6.77,"['Action', 'Adventure', 'Drama', 'Fantasy']",20220426,12061,['ASK Animation Studio']
39489,Spriggan (ONA),0,"['Action', 'Adventure', 'Sci-Fi']",20220618,9108,['David Production']
50953,Bastard!! Ankoku no Hakaishin (ONA),0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Ecchi']",20220630,6875,['LIDENFILMS']
39935,Ultraman Season 2,6.62,"['Action', 'Sci-Fi']",20220414,6163,"['Production I.G', 'Sola Digital Arts']"
41750,Koukaku Kidoutai: SAC_2045 Season 2,0,"['Action', 'Sci-Fi']",20220523,5120,['Unknown']
49570,Wu Dong Qian Kun 3rd Season,0,"['Action', 'Adventure', 'Fantasy']",20220501,1190,['Motion Magic']
51335,Shen Yin Wangzuo,0,"['Action', 'Adventure', 'Fantasy']",20220428,489,['Unknown']
50443,Shikong Zhi Xi,0,['Action'],20220415,478,['Unknown']
44073,Ni Zhenshi Ge Tiancai,0,"['Comedy', 'Fantasy']",20220423,351,['Mili Pictures']
50575,Huang Yan,0,"['Romance', 'Suspense']",20220428,338,['Unknown']
51554,Mobile Suit Gundam 00: Revealed Chronicle,0,"['Action', 'Sci-Fi']",20220404,310,['Unknown']
51740,Fanren Xiu Xian Chuan: Zai Bie Tian Nan,0,"['Action', 'Adventure', 'Fantasy']",20220424,298,['Unknown']
50433,Jun You Yun,0,"['Action', 'Adventure', 'Fantasy']",20220421,251,['Unknown']
51520,Xinghe Zhizun 2nd Season,0,"['Action', 'Fantasy']",20220413,209,['Ruo Hong Culture']
51735,Jiu Tian Xuan Di Jue 2,0,"['Action', 'Adventure', 'Fantasy']",20220502,150,['Unknown']
51385,Kaiju Yi Zuo Shan,0,['Fantasy'],20220415,139,['Unknown']
51681,Xun Jian,0,"['Action', 'Adventure', 'Fantasy']",20220426,138,['Unknown']
51738,Kakkou no Iikagen,0,['Comedy'],20220428,76,['Unknown']
49733,Yuukoku no Moriarty OVA,0,"['Mystery', 'Suspense']",20220427,20223,['Unknown']
49423,Kaitou Queen wa Circus ga Osuki,0,"['Adventure', 'Fantasy']",20220617,1557,['Unknown']
48548,5-toubun no Hanayome Movie,0,"['Comedy', 'Romance']",20220520,105907,['Bibury Animation Studios']
41567,Isekai Quartet Movie: Another World,0,"['Comedy', 'Fantasy']",20220610,61907,['Studio PuYUKAI']
48903,Dragon Ball Super: Super Hero,0,"['Action', 'Adventure', 'Fantasy']",20220611,38066,['Unknown']
50653,Odd Taxi Movie: In the Woods,0,['Mystery'],20220401,34248,"['OLM', 'P.I.C.S.']"
49722,Karakai Jouzu no Takagi-san Movie,0,['Comedy'],20220610,25191,['Unknown']
48830,Free! Movie 5: The Final Stroke - Kouhen,0,['Sports'],20220422,20379,['Kyoto Animation']
48624,Re:cycle of the Penguindrum,0,"['Avant Garde', 'Comedy', 'Drama', 'Mystery']",20220429,9683,"[""Brain's Base"", 'Lapin Track']"
39938,Inu-Ou,0,['Fantasy'],20220528,8345,['Science SARU']
49320,Detective Conan Movie 25: Halloween no Hanayome,7.36,['Mystery'],20220415,5741,['Unknown']
49827,Mobile Suit Gundam: Cucuruz Doan's Island,0,[],20220603,3333,['Unknown']
47777,Toku: Touken Ranbu - Hanamaru - Setsugetsuka,0,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Slice of Life']",20220520,2858,['Unknown']
49845,Tongari Atama no Gonta: Futatsu no Namae wo Ikita Fukushima Hisai Inu no Monogatari,0,[],20220603,1206,['WAO World']
50562,Crayon Shin-chan Movie 30: Mononoke Ninja Chinpuuden,0,"['Adventure', 'Comedy']",20220422,593,['Shin-Ei Animation']
51147,Idol Bu Show Movie,0,[],20220624,388,"['Amineworks', 'ORENDA']"
49291,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) Final Season - Asaki Yume no Akatsuki,6.81,"['Drama', 'Suspense']",20220403,19502,['Shaft']
51562,"Yuusha, Yamemasu: Kenshuu Ryokou wa Mokuteki wo Miushinau na",0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",20220624,4450,['Unknown']
51525,Jantama Pong☆ Episode 0,6.15,['Comedy'],20220401,1578,['Unknown']
51534,Baraou no Souretsu Recap,5.65,"['Action', 'Drama', 'Supernatural']",20220403,1411,['J.C.Staff']
51538,Shin Gakki da yo! Waccha PriMagi! Gakuen,0,['Comedy'],20220403,229,['Unknown']
